Incident_Date,State,City_Or_County,Address,Killed,Injured,Operations
12-25-16,Alabama,Ozark,858 US-231,0,4,N/A
12-25-16,Illinois,Chicago,8600 block of South Maryland Avenue,3,4,N/A
12-25-16,New York,Mount Vernon,4 North 3rd Avenue,1,5,N/A
12-24-16,North Carolina,Madison,490 K Ford Rd,0,7,N/A
12-24-16,North Carolina,Wilson,2241 Banks Lane East,4,0,N/A
12-23-16,Alabama,Birmingham,3813 Richard Arrington Boulevard North,1,3,N/A
12-23-16,Illinois,Chicago,4900 block of West Hubbard,0,4,N/A
12-17-16,North Carolina,Charlotte,4115 N. Tryon Street,0,4,N/A
12-17-16,Illinois,Chicago (Roseland),100 block of West 105th Street,5,0,N/A
12-16-16,Illinois,Chicago,4300 block of South Rockwell,2,2,N/A
12-16-16,Illinois,Chicago,13th and South Kedzie,0,4,N/A
12-12-16,California,Sacramento,4800 block of Myrtle Avenue,1,3,N/A
12-11-16,New York,Brooklyn,192 Knickerbocker Ave,0,4,N/A
12-11-16,Florida,Orlando (Pine Hills),4305 N Pine Hills Rd,1,4,N/A
12-11-16,Maryland,Baltimore,3916 South Hanover Street,0,5,N/A
12-11-16,North Carolina,Rocky Mount,1200 block of East Highland Ave,0,4,N/A
12-09-16,Texas,Channelview,15300 block of Market,4,0,N/A
12-09-16,California,Fresno,842 Fresno Street,0,4,N/A
12-05-16,New Mexico,Albuquerque,1532 Stagecoach Lane,4,1,N/A
12-03-16,California,Los Angeles,91st Street and Western Avenue,0,6,N/A
12-02-16,New Jersey,Bloomfield,3 1st Ave,0,6,N/A
12-01-16,California,Clearlake Oaks,N/A,1,3,N/A
11-30-16,Maryland,Baltimore,2901 Garrison Blvd,2,4,N/A
11-28-16,Texas,Mission (Palmview),1840 West Palma Vista Drive,1,3,N/A
11-28-16,California,Wilmington,1067 McDonald Avenue,0,4,N/A
11-28-16,California,San Pedro,300 block of West 2nd Street,0,4,N/A
11-27-16,Louisiana,New Orleans,100 block of Bourbon Street,1,9,N/A
11-27-16,Missouri,Kansas City,Gregory and Prospect,0,7,N/A
11-26-16,Illinois,Chicago,8800 block of S Exchange Ave,1,5,N/A
11-25-16,Louisiana,New Orleans,Magnolia Street and Felicity Street,0,4,N/A
11-24-16,Kentucky,Louisville,4501 W Broadway,2,4,N/A
11-24-16,New York,Albany,77 Central Ave,1,3,N/A
11-23-16,Mississippi,Olive Branch,928 Cross Road,0,4,N/A
11-22-16,Florida,Clewiston,1068 Harlem Academy Avenue,1,4,N/A
11-18-16,Illinois,Chicago,5000 block of West Wabansia,0,4,N/A
11-17-16,Tennessee,Dyersburg,160 Longfellow,1,7,N/A
11-13-16,Florida,Jacksonville,5105 Cleveland Rd,3,2,N/A
11-13-16,Texas,San Antonio,8000 Midcrown,0,4,N/A
11-13-16,California,San Diego,3800 block of Marlborough Avenue,3,2,N/A
11-13-16,Florida,Orlando,Conley Street and South Ivey Lane,0,4,N/A
11-12-16,California,Sacramento,8600 block of Ardith Drive,1,5,N/A
11-12-16,Missouri,Kansas City,21st St and Cleveland Ave,1,3,N/A
11-12-16,Connecticut,Bridgeport,2500 Park Avenue,0,5,N/A
11-11-16,Texas,Houston,7705 Channelside Street,0,4,N/A
11-10-16,Texas,Houston,6610 S Sam Houston Pkwy W,1,3,N/A
11-09-16,Washington,Seattle,1524 3rd Ave,0,5,N/A
11-09-16,Illinois,Chicago,3400 block of W Monroe,1,3,N/A
11-09-16,Tennessee,Memphis,1800 block of East Brooks Road,0,4,N/A
11-05-16,Florida,Fort Lauderdale (Lauderhill),3135 West Broward Boulevard,1,3,N/A
11-05-16,Texas,San Antonio,10726 Perrin Beitel Rd,0,4,N/A
11-05-16,South Carolina,Myrtle Beach,803 Main St,0,5,N/A
11-05-16,California,Oakland,420 14th Street,0,8,N/A
11-05-16,Illinois,Chicago,4800 block of North Winthrop,0,5,N/A
11-04-16,Pennsylvania,Philadelphia,5451 Springfield Ave,0,4,N/A
11-03-16,Illinois,Chicago,8000 block of S Shore Dr,2,2,N/A
11-03-16,New Jersey,Orange,234 Cleveland Street,2,2,N/A
11-02-16,Arkansas,Little Rock,2111 Bragg Street,1,4,N/A
11-01-16,Tennessee,Memphis,5200 block of Zodiac Rd,1,5,N/A
10-31-16,Louisiana,Shreveport,700 Block of W 68th St,0,4,N/A
10-30-16,Ohio,Toledo,742 Junction Ave,0,4,N/A
10-30-16,New York,New York (Manhattan),135 Ridge Street,0,4,N/A
10-30-16,New York,Newburgh,119 First Street,2,5,N/A
10-30-16,Maryland,Capitol Heights,6860 Walker Mill Road,3,3,N/A
10-30-16,Texas,San Antonio,2900 block of Aspen Meadow,0,5,N/A
10-29-16,Ohio,Dayton,2010 Cornell Ridge Dr,1,3,N/A
10-29-16,California,Los Angeles,1600 block of Century Boulevard,0,5,N/A
10-29-16,California,Riverside,3500 block of Madison Street,0,4,N/A
10-28-16,Mississippi,Jackson,200 block of Lorenz Blvd,0,6,N/A
10-28-16,Florida,Miami Gardens,Northwest 173rd Terrace and 27th Avenue,0,4,N/A
10-27-16,Georgia,Jackson,600 block of Moccasin Gap Road,4,0,N/A
10-25-16,Ohio,Dayton,3300 block of Riverside Dr,1,3,N/A
10-25-16,Virginia,Roanoke,830 Campbell Avenue Southeast,2,3,N/A
10-23-16,Oklahoma,Wellston,Highway 66 and N 3310 Rd,1,5,N/A
10-22-16,California,Oakland,77th and Bancroft Avenues,0,7,N/A
10-18-16,California,San Francisco,325 La Grande Ave,0,4,N/A
10-17-16,Illinois,Chicago (Englewood),6700 block of South Winchester,1,4,N/A
10-15-16,Alabama,Mobile,1800 block of St Stephens Road,0,5,N/A
10-15-16,Illinois,Rockford,7801 East State St,1,5,N/A
10-15-16,California,Los Angeles,2918 Rimpau Blvd,4,11,N/A
10-14-16,Illinois,Chicago,3300 block of W Maypole Ave,1,6,N/A
10-13-16,Illinois,Chicago,2700 block of West Lexington,0,4,N/A
10-09-16,Michigan,Grand Rapids,1850 28th Street SE,1,8,N/A
10-09-16,California,Sacramento,1696 Arden Way,1,3,N/A
10-08-16,New York,Brooklyn,7301 3rd Ave,0,4,N/A
10-04-16,Louisiana,New Orleans,3727 Ulloa Street,3,2,N/A
10-03-16,Minnesota,Minneapolis,Fourth St and Hennepin Ave,0,4,N/A
10-02-16,Texas,San Antonio,2600 South Flores Street,1,4,N/A
10-01-16,Illinois,Pembroke Township,17250E Road,4,0,N/A
10-01-16,California,Fresno,3200 block of East Clay Avenue,0,4,N/A
09-29-16,California,San Francisco,400 block of Ellis Street,1,3,N/A
09-26-16,North Carolina,Winston Salem (Winston-salem),100 block of 5 Royales Dr,0,4,N/A
09-26-16,Texas,Humble,21219 Grand Linden Ct,0,4,N/A
09-26-16,Texas,Houston,5450 Weslayan St,1,6,N/A
09-25-16,Illinois,Champaign,300 block of E. Green St,1,3,N/A
09-24-16,Maryland,Baltimore,Greenmount Avenue and Preston Street,0,8,N/A
09-23-16,Washington,Burlington,201 Cascade Mall Dr,5,0,N/A
09-18-16,Pennsylvania,Philadelphia,3001 Castor Avenue,0,4,N/A
09-18-16,Virginia,Lynchburg,421 Rivermont Ave,1,3,N/A
09-18-16,Pennsylvania,Pittsburgh,1700 block of Brighton Place,0,4,N/A
09-17-16,Florida,Miami,20582 SW 119th Ave,0,6,N/A
09-17-16,Florida,Orlando,3918 Columbia St,1,6,N/A
09-17-16,Indiana,Indianapolis,2016 West 76th Street,2,2,N/A
09-17-16,District of Columbia,Washington,2600 block of Birney Place SE,2,7,N/A
09-16-16,Pennsylvania,Philadelphia,5100 block of Sansom St,2,5,N/A
09-16-16,California,Los Angeles (Hollywood),555 N Heliotrope Dr,2,2,N/A
09-14-16,Texas,Humble,16000 block of Saybrook,1,3,N/A
09-13-16,Indiana,Fort Wayne,1723 E Wayne St,3,2,N/A
09-11-16,Indiana,Fort Wayne,3006 Holton Avenue,3,1,N/A
09-11-16,Louisiana,New Orleans,2349 S Claiborne Ave,1,5,N/A
09-11-16,New Jersey,Jersey City,87 Van Wagenen Ave,1,3,N/A
09-11-16,Missouri,Kansas City,500 block of Westport Rd,0,6,N/A
09-11-16,Michigan,Saginaw,2207 Pierce Road,0,5,N/A
09-11-16,North Carolina,New Bern,1100 block of Highway 70,0,5,N/A
09-10-16,Florida,Miami,3451 Northwest 36 Street,1,3,N/A
09-08-16,Texas,Del Valle,8330 Linden Rd,4,0,N/A
09-08-16,Arkansas,Hot Springs National Park (Hot Springs),300 block of Lacey St,1,4,N/A
09-05-16,Illinois,Chicago,2700 block of W Lexington Ave,2,3,N/A
09-05-16,Pennsylvania,Reading,600 block of Moss Street,0,4,N/A
